worker,,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10
1,,9,10,10,9,6,7,8,5,4,4,,157,197,384,307,246,307,384,197,157,246
2,,1,1,3,5,3,10,9,8,7,9,,24,15,38,98,61,384,307,197,157,246
3,,9,10,5,10,3,8,3,5,10,2,,246,307,197,384,157,307,197,246,384,157
4,,10,7,6,8,10,9,7,5,10,9,,384,197,157,246,307,246,197,157,384,307
5,,1,2,6,4,2,10,10,8,7,8,,15,24,98,61,38,307,384,197,157,246
6,,9,10,6,7,10,10,5,6,3,9,,246,307,157,197,384,384,197,246,157,307
7,,3,4,1,2,7,10,9,9,8,9,,38,61,15,24,98,384,197,246,157,307
8,,3,4,1,7,2,10,10,10,9,7,,38,61,15,98,24,246,197,384,307,157
9,,10,4,10,10,2,6,3,4,6,8,,246,197,307,384,157,307,157,197,246,384
10,,3,1,1,5,6,8,9,7,9,10,,38,24,15,61,98,197,384,157,246,307
11,,10,5,6,4,7,7,5,10,4,3,,384,197,246,157,307,307,246,384,197,157
12,,9,10,5,6,4,7,10,4,3,8,,307,384,197,246,157,246,384,197,157,307
13,,2,4,1,8,1,10,9,9,10,4,,38,61,24,98,15,307,197,246,384,157
14,,6,1,2,3,2,10,10,9,10,7,,98,15,24,61,38,157,307,246,384,197
15,,3,5,7,2,1,10,10,9,10,10,,38,61,98,24,15,157,246,197,307,384
16,,10,6,8,10,10,5,10,9,7,8,,307,157,197,246,384,157,384,307,197,246
17,,1,3,4,5,2,9,10,7,9,8,,15,38,61,98,24,157,384,197,307,246
18,,1,5,7,3,2,10,10,10,8,7,,15,61,98,38,24,246,307,384,197,157
19,,9,7,4,10,7,3,4,10,8,9,,384,197,157,307,246,157,197,384,246,307
20,,10,7,10,10,8,9,6,3,2,6,,197,157,246,384,307,384,307,197,157,246
21,,4,1,1,3,4,9,8,7,10,9,,98,24,15,38,61,246,197,157,384,307
22,,3,2,8,6,4,10,9,10,10,7,,24,15,98,61,38,246,197,307,384,157
23,,5,6,2,7,4,10,9,7,8,9,,24,61,15,98,38,384,307,157,197,246
24,,10,10,6,10,4,4,3,10,10,2,,246,307,157,384,197,246,197,384,307,157
25,,3,1,6,9,1,10,7,9,9,10,,38,24,61,98,15,307,157,197,246,384
26,,9,10,10,5,4,4,7,6,9,10,,246,307,384,197,157,157,246,197,307,384
27,,9,7,6,5,8,7,6,7,8,9,,384,246,197,157,307,246,157,197,307,384
28,,2,9,3,4,7,10,10,8,7,10,,15,98,24,38,61,157,307,246,197,384
29,,1,3,2,5,4,8,7,10,8,9,,15,38,24,98,61,246,157,384,197,307
30,,6,2,1,1,5,10,8,9,10,10,,98,38,24,15,61,246,157,197,307,384
31,,4,7,2,3,1,10,10,8,7,9,,61,98,24,38,15,246,384,197,157,307
32,,5,2,2,1,4,10,9,10,8,8,,98,24,38,15,61,307,246,384,197,157
33,,9,7,10,9,7,9,4,4,7,4,,197,157,384,246,307,384,157,197,307,246
34,,9,10,6,10,8,10,9,4,6,7,,197,307,157,384,246,384,307,157,197,246
35,,10,7,10,8,5,9,10,5,6,10,,307,197,384,246,157,246,307,157,197,384
36,,9,7,10,8,7,7,6,9,10,4,,197,157,384,307,246,246,197,307,384,157
37,,2,3,5,7,1,10,9,10,9,10,,24,38,61,98,15,197,157,307,246,384
38,,4,1,2,3,6,7,10,9,8,9,,61,15,24,38,98,157,384,307,197,246
39,,7,9,10,10,6,5,10,8,9,9,,157,246,307,384,197,157,384,197,307,246
40,,10,10,8,10,9,8,5,9,5,7,,157,246,197,384,307,246,157,384,197,307
41,,8,2,1,7,3,10,10,10,9,10,,98,24,15,61,38,157,197,384,246,307
42,,3,2,5,1,1,8,10,7,9,10,,61,38,98,24,15,157,307,197,246,384
43,,8,9,10,10,4,5,4,8,7,9,,197,246,307,384,157,197,157,307,246,384
44,,4,2,8,4,6,10,9,9,10,9,,24,15,98,38,61,384,157,197,307,246
45,,7,8,9,9,10,8,6,7,10,9,,157,197,384,246,307,246,157,197,384,307
46,,9,7,10,6,5,5,8,5,7,10,,307,246,384,197,157,157,307,197,246,384
47,,2,3,9,4,5,10,9,10,10,9,,15,24,98,38,61,246,157,197,384,307
48,,8,10,6,7,9,4,8,7,6,10,,157,384,197,246,307,157,307,246,197,384
49,,6,9,10,8,6,8,9,10,6,4,,157,307,384,246,197,246,307,384,197,157
50,,10,4,5,8,6,4,8,7,10,6,,384,157,197,307,246,157,307,246,384,197